<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,1,20220601,171500,62154,62222,62074,62102,11601
SPFB.Si,1,20220601,171600,62100,62145,62063,62110,2961
SPFB.Si,1,20220601,171700,62108,62134,62100,62116,1294
SPFB.Si,1,20220601,171800,62113,62113,62037,62053,3109
SPFB.Si,1,20220601,171900,62053,62088,62040,62060,3028
SPFB.Si,1,20220601,172000,62060,62083,62043,62054,1154
SPFB.Si,1,20220601,172100,62057,62089,62057,62083,1588
SPFB.Si,1,20220601,172200,62086,62100,62070,62089,1493
SPFB.Si,1,20220601,172300,62089,62089,62057,62057,981
SPFB.Si,1,20220601,172400,62058,62062,61988,62012,3812
SPFB.Si,1,20220601,172500,62008,62036,61984,62019,1804
SPFB.Si,1,20220601,172600,62020,62039,62016,62028,976
SPFB.Si,1,20220601,172700,62029,62038,62012,62028,1343
SPFB.Si,1,20220601,172800,62028,62029,61996,62025,1167
SPFB.Si,1,20220601,172900,62025,62037,61940,61974,4042
SPFB.Si,1,20220601,173000,61976,61993,61943,61977,1780
SPFB.Si,1,20220601,173100,61977,62021,61974,62007,1912
SPFB.Si,1,20220601,173200,62008,62008,61978,61981,1139
SPFB.Si,1,20220601,173300,61980,62045,61976,62025,1828
SPFB.Si,1,20220601,173400,62025,62060,62019,62045,1534
SPFB.Si,1,20220601,173500,62043,62088,62041,62072,2254
SPFB.Si,1,20220601,173600,62071,62079,62054,62061,1038
SPFB.Si,1,20220601,173700,62063,62065,62014,62027,1418
SPFB.Si,1,20220601,173800,62029,62046,62022,62040,1033
SPFB.Si,1,20220601,173900,62034,62034,62015,62021,626
SPFB.Si,1,20220601,174000,62021,62039,62013,62039,661
SPFB.Si,1,20220601,174100,62039,62039,62017,62022,463
SPFB.Si,1,20220601,174200,62018,62018,61949,61950,3609
SPFB.Si,1,20220601,174300,61952,61997,61950,61965,1597
SPFB.Si,1,20220601,174400,61962,61997,61941,61985,1877
SPFB.Si,1,20220601,174500,61984,61984,61900,61916,4915
SPFB.Si,1,20220601,174600,61919,61928,61881,61928,4701
SPFB.Si,1,20220601,174700,61924,61932,61870,61912,6756
SPFB.Si,1,20220601,174800,61912,61999,61883,61999,4000
SPFB.Si,1,20220601,174900,61995,62024,61957,61962,3207
SPFB.Si,1,20220601,175000,61967,62050,61966,62038,4517
SPFB.Si,1,20220601,175100,62038,62063,61991,61997,3063
SPFB.Si,1,20220601,175200,61991,62028,61978,62011,1350
SPFB.Si,1,20220601,175300,62008,62036,62001,62025,356
SPFB.Si,1,20220601,175400,62021,62021,61963,61969,1322
SPFB.Si,1,20220601,175500,61969,62002,61957,62001,1461
SPFB.Si,1,20220601,175600,61999,62010,61973,61973,740
SPFB.Si,1,20220601,175700,61973,61990,61973,61984,494
SPFB.Si,1,20220601,175800,61984,61990,61961,61972,875
SPFB.Si,1,20220601,175900,61977,62012,61961,62000,1234
SPFB.Si,1,20220601,180000,62000,62000,61991,61993,326
SPFB.Si,1,20220601,180100,61993,62070,61991,62070,4141
SPFB.Si,1,20220601,180200,62065,62079,62023,62034,2721
SPFB.Si,1,20220601,180300,62039,62090,62035,62090,2872
SPFB.Si,1,20220601,180400,62090,62121,62053,62107,3693
SPFB.Si,1,20220601,180500,62108,62143,62056,62062,4609
SPFB.Si,1,20220601,180600,62066,62118,62065,62080,3112
SPFB.Si,1,20220601,180700,62082,62120,62061,62061,1741
SPFB.Si,1,20220601,180800,62061,62089,62048,62064,1689
SPFB.Si,1,20220601,180900,62065,62168,62055,62119,6512
SPFB.Si,1,20220601,181000,62118,62136,62052,62093,2920
SPFB.Si,1,20220601,181100,62092,62129,62052,62067,2596
SPFB.Si,1,20220601,181200,62072,62184,62061,62102,5190
SPFB.Si,1,20220601,181300,62109,62182,62109,62150,4422
SPFB.Si,1,20220601,181400,62151,62153,62115,62126,2159
SPFB.Si,1,20220601,181500,62126,62195,62122,62176,4126
SPFB.Si,1,20220601,181600,62179,62186,62122,62156,2961
SPFB.Si,1,20220601,181700,62156,62164,62111,62118,1623
SPFB.Si,1,20220601,181800,62118,62118,62074,62080,1850
SPFB.Si,1,20220601,181900,62080,62125,62071,62077,2175
SPFB.Si,1,20220601,182000,62072,62124,62065,62081,1827
SPFB.Si,1,20220601,182100,62082,62199,62077,62187,4631
SPFB.Si,1,20220601,182200,62182,62187,62095,62103,2928
SPFB.Si,1,20220601,182300,62102,62128,62059,62079,2220
SPFB.Si,1,20220601,182400,62078,62086,62066,62066,602
SPFB.Si,1,20220601,182500,62067,62093,62064,62083,1173

