<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,1,20220601,111800,62277,62410,62260,62330,11199
SPFB.Si,1,20220601,111900,62324,62335,62237,62258,2523
SPFB.Si,1,20220601,112000,62257,62271,62100,62121,5615
SPFB.Si,1,20220601,112100,62120,62120,62000,62033,10662
SPFB.Si,1,20220601,112200,62031,62095,62017,62053,3970
SPFB.Si,1,20220601,112300,62056,62071,62011,62011,2218
SPFB.Si,1,20220601,112400,62011,62015,61888,61983,15902
SPFB.Si,1,20220601,112500,61986,62099,61966,62077,7051
SPFB.Si,1,20220601,112600,62078,62129,62037,62069,4843
SPFB.Si,1,20220601,112700,62068,62074,61900,61902,6041
SPFB.Si,1,20220601,112800,61904,61970,61825,61855,8901
SPFB.Si,1,20220601,112900,61855,61998,61839,61994,6226
SPFB.Si,1,20220601,113000,61996,62048,61915,61946,6146
SPFB.Si,1,20220601,113100,61946,62044,61939,62025,4609
SPFB.Si,1,20220601,113200,62023,62023,61937,61993,3568
SPFB.Si,1,20220601,113300,61989,62080,61945,62055,4461
SPFB.Si,1,20220601,113400,62055,62057,61966,61986,2442
SPFB.Si,1,20220601,113500,61987,61999,61940,61951,3156
SPFB.Si,1,20220601,113600,61959,61995,61917,61995,3302
SPFB.Si,1,20220601,113700,61994,62041,61957,62041,2628
SPFB.Si,1,20220601,113800,62035,62039,61984,62031,1700
SPFB.Si,1,20220601,113900,62020,62077,62014,62072,2845
SPFB.Si,1,20220601,114000,62077,62098,62024,62035,3067
SPFB.Si,1,20220601,114100,62036,62041,61989,62010,1997
SPFB.Si,1,20220601,114200,62009,62079,61957,62065,3232
SPFB.Si,1,20220601,114300,62058,62090,62020,62085,2744
SPFB.Si,1,20220601,114400,62085,62085,62010,62040,1712
SPFB.Si,1,20220601,114500,62032,62058,62015,62058,2222
SPFB.Si,1,20220601,114600,62059,62060,62014,62016,2214
SPFB.Si,1,20220601,114700,62018,62039,62013,62038,1368
SPFB.Si,1,20220601,114800,62029,62029,61938,61942,7223
SPFB.Si,1,20220601,114900,61947,62025,61940,61978,3237
SPFB.Si,1,20220601,115000,61976,61992,61902,61950,5547
SPFB.Si,1,20220601,115100,61946,61950,61871,61904,6112
SPFB.Si,1,20220601,115200,61897,61948,61889,61945,2929
SPFB.Si,1,20220601,115300,61944,61977,61900,61941,4195
SPFB.Si,1,20220601,115400,61948,61948,61854,61890,6423
SPFB.Si,1,20220601,115500,61891,61955,61881,61938,2751
SPFB.Si,1,20220601,115600,61934,61960,61889,61952,2798
SPFB.Si,1,20220601,115700,61959,62020,61929,62013,5267
SPFB.Si,1,20220601,115800,62012,62035,61989,62028,2872
SPFB.Si,1,20220601,115900,62025,62052,61960,62050,3942
SPFB.Si,1,20220601,120000,62047,62054,61997,62031,2649
SPFB.Si,1,20220601,120100,62032,62037,61968,62010,2360
SPFB.Si,1,20220601,120200,62006,62086,61994,62079,4200
SPFB.Si,1,20220601,120300,62079,62085,62016,62038,2392
SPFB.Si,1,20220601,120400,62032,62032,61957,61968,2855
SPFB.Si,1,20220601,120500,61968,62000,61945,62000,2138
SPFB.Si,1,20220601,120600,61990,61994,61966,61980,897
SPFB.Si,1,20220601,120700,61980,61986,61961,61975,907
SPFB.Si,1,20220601,120800,61975,62015,61958,61970,2698
SPFB.Si,1,20220601,120900,61966,62051,61958,62021,3246
SPFB.Si,1,20220601,121000,62020,62026,61994,62012,1123
SPFB.Si,1,20220601,121100,62013,62073,62002,62060,2317
SPFB.Si,1,20220601,121200,62057,62073,62011,62033,2906
SPFB.Si,1,20220601,121300,62036,62041,62011,62041,967
SPFB.Si,1,20220601,121400,62035,62035,61978,62022,2573
SPFB.Si,1,20220601,121500,62021,62035,62004,62027,799
SPFB.Si,1,20220601,121600,62023,62025,61965,61982,2386
SPFB.Si,1,20220601,121700,61981,62041,61976,62036,1934
SPFB.Si,1,20220601,121800,62041,62200,62034,62153,13564
SPFB.Si,1,20220601,121900,62153,62174,62056,62085,6653
SPFB.Si,1,20220601,122000,62091,62116,62001,62062,4632
SPFB.Si,1,20220601,122100,62059,62125,62022,62122,5797
SPFB.Si,1,20220601,122200,62125,62130,62062,62106,3405
SPFB.Si,1,20220601,122300,62106,62113,62070,62080,1679
SPFB.Si,1,20220601,122400,62080,62125,62080,62122,1899
SPFB.Si,1,20220601,122500,62123,62175,62036,62040,6244
SPFB.Si,1,20220601,122600,62042,62049,61975,61991,4451
SPFB.Si,1,20220601,122700,61990,61998,61911,61979,5301
SPFB.Si,1,20220601,122800,61979,62042,61960,62023,2454
SPFB.Si,1,20220601,122900,62020,62065,62013,62040,1710
SPFB.Si,1,20220601,123000,62039,62041,61956,61964,2622
SPFB.Si,1,20220601,123100,61964,61996,61954,61974,1249
SPFB.Si,1,20220601,123200,61973,62050,61965,62025,3321
SPFB.Si,1,20220601,123300,62019,62040,62018,62038,1051
SPFB.Si,1,20220601,123400,62039,62049,61982,61991,1386
SPFB.Si,1,20220601,123500,61985,62026,61972,62003,1680
SPFB.Si,1,20220601,123600,62001,62001,61956,61975,998
SPFB.Si,1,20220601,123700,61968,62021,61915,62016,3109
SPFB.Si,1,20220601,123800,62013,62065,62000,62025,4350
SPFB.Si,1,20220601,123900,62025,62025,61922,61952,3295
SPFB.Si,1,20220601,124000,61950,61984,61920,61921,2516
SPFB.Si,1,20220601,124100,61921,61954,61870,61915,7517
SPFB.Si,1,20220601,124200,61919,61957,61906,61948,4448
SPFB.Si,1,20220601,124300,61946,61970,61875,61875,3061
SPFB.Si,1,20220601,124400,61875,61920,61855,61896,5816
SPFB.Si,1,20220601,124500,61897,61927,61873,61922,1862
SPFB.Si,1,20220601,124600,61924,61938,61910,61914,1461
SPFB.Si,1,20220601,124700,61916,61920,61751,61778,10442
SPFB.Si,1,20220601,124800,61774,61800,61757,61773,4242
SPFB.Si,1,20220601,124900,61771,61800,61724,61772,6063
SPFB.Si,1,20220601,125000,61772,61818,61771,61801,3955
SPFB.Si,1,20220601,125100,61801,61820,61800,61800,5497
SPFB.Si,1,20220601,125200,61800,61815,61800,61802,6971
SPFB.Si,1,20220601,125300,61803,61834,61800,61834,2477
SPFB.Si,1,20220601,125400,61834,61834,61810,61813,1047
SPFB.Si,1,20220601,125500,61814,61978,61802,61906,8284
SPFB.Si,1,20220601,125600,61902,61909,61845,61903,3189
SPFB.Si,1,20220601,125700,61906,61930,61820,61865,3444
SPFB.Si,1,20220601,125800,61866,61871,61809,61855,1830
SPFB.Si,1,20220601,125900,61853,61865,61821,61844,782
SPFB.Si,1,20220601,130000,61846,61892,61836,61868,1559
SPFB.Si,1,20220601,130100,61871,61878,61841,61845,1341
SPFB.Si,1,20220601,130200,61852,61852,61801,61825,3266
SPFB.Si,1,20220601,130300,61825,61825,61800,61805,4650
SPFB.Si,1,20220601,130400,61801,61801,61763,61788,4078
SPFB.Si,1,20220601,130500,61789,61832,61777,61830,3053
SPFB.Si,1,20220601,130600,61830,61832,61800,61827,2503
SPFB.Si,1,20220601,130700,61826,61848,61815,61839,1162
SPFB.Si,1,20220601,130800,61833,61833,61808,61818,793
SPFB.Si,1,20220601,130900,61819,61825,61801,61818,2152
SPFB.Si,1,20220601,131000,61818,61896,61818,61877,4638
SPFB.Si,1,20220601,131100,61870,61891,61845,61862,1754
SPFB.Si,1,20220601,131200,61860,61863,61815,61826,1219
SPFB.Si,1,20220601,131300,61822,61846,61804,61804,1790
SPFB.Si,1,20220601,131400,61804,61833,61801,61825,1645
SPFB.Si,1,20220601,131500,61824,61833,61814,61827,1144
SPFB.Si,1,20220601,131600,61824,61855,61821,61840,1139
SPFB.Si,1,20220601,131700,61843,61844,61816,61824,1021
SPFB.Si,1,20220601,131800,61823,61823,61805,61808,1627
SPFB.Si,1,20220601,131900,61807,61816,61804,61812,742
SPFB.Si,1,20220601,132000,61814,61836,61804,61811,1354
SPFB.Si,1,20220601,132100,61807,61807,61800,61804,1847
SPFB.Si,1,20220601,132200,61803,61844,61801,61842,1830
SPFB.Si,1,20220601,132300,61841,61855,61820,61843,1742
SPFB.Si,1,20220601,132400,61847,61848,61826,61830,506
SPFB.Si,1,20220601,132500,61826,61839,61823,61835,899
SPFB.Si,1,20220601,132600,61835,61865,61830,61865,2351
SPFB.Si,1,20220601,132700,61861,61943,61836,61925,5772
SPFB.Si,1,20220601,132800,61924,61941,61864,61884,2865
SPFB.Si,1,20220601,132900,61876,61887,61855,61872,935
SPFB.Si,1,20220601,133000,61866,61920,61860,61916,1620
SPFB.Si,1,20220601,133100,61916,61925,61903,61925,1927
SPFB.Si,1,20220601,133200,61923,61960,61904,61956,4033
SPFB.Si,1,20220601,133300,61958,61992,61913,61920,3616
SPFB.Si,1,20220601,133400,61919,61933,61910,61924,1165
SPFB.Si,1,20220601,133500,61924,61950,61903,61927,2729
SPFB.Si,1,20220601,133600,61930,61932,61875,61885,2046
SPFB.Si,1,20220601,133700,61886,61899,61861,61866,1169
SPFB.Si,1,20220601,133800,61863,61888,61815,61831,4147
SPFB.Si,1,20220601,133900,61831,61850,61820,61837,1737
SPFB.Si,1,20220601,134000,61833,61853,61821,61827,1261
SPFB.Si,1,20220601,134100,61825,61837,61821,61835,1028
SPFB.Si,1,20220601,134200,61835,61837,61830,61836,667
SPFB.Si,1,20220601,134300,61833,61833,61810,61811,1498
